"state","year","month","outage_count","max_outage_duration","customer_weighted_hours"
"KS",2015,6,164,39.5,895317
"KS",2015,7,155,21.75,239984.5
"KS",2015,8,93,21,195352.5
"KS",2015,9,102,31.5,168658.5
"KS",2015,10,75,9.5,66863.75
"KS",2015,11,193,73.25,486869.75
"KS",2015,12,90,18.5,162054.5
"KY",2015,0,1840,69,4161803.25
"KY",2015,1,86,10.75,103701.25
"KY",2015,2,141,14.25,244305.5
"KY",2015,3,84,7,91360.25
"KY",2015,4,179,20.5,309758.25
"KY",2015,5,156,17.5,154689.25
"KY",2015,6,251,22.75,377726.75
"KY",2015,7,376,69,2231485.5
"KY",2015,8,107,31,172947.75
"KY",2015,9,128,8.25,132315.75
"KY",2015,10,109,4.5,105095
"KY",2015,11,99,5.5,89878.25
"KY",2015,12,124,10.25,148539.75
"LA",2015,0,5439,43,11645839.75
"LA",2015,1,214,33.25,440289.75
"LA",2015,2,189,9.75,224960.5
"LA",2015,3,241,8.5,244477.5
"LA",2015,4,1162,39.5,4674207.25
"LA",2015,5,671,36.25,1370426.25
"LA",2015,6,617,22.75,735034
"LA",2015,7,511,25,936974.75
"LA",2015,8,414,22.5,536757.25
"LA",2015,9,339,23.75,488493.75
"LA",2015,10,368,42.5,908700.5
"LA",2015,11,364,14,442468.5
"LA",2015,12,349,43,643049.75
"ME",2015,0,942,26.25,1789926.5
"ME",2015,1,104,10.5,176882
"ME",2015,2,38,15.25,79776.75
"ME",2015,3,79,11.75,111060.25
"ME",2015,4,80,16.75,100976
"ME",2015,5,112,6.75,159345.25
"ME",2015,6,55,14.5,79103.75
"ME",2015,7,74,10,102040.25
"ME",2015,8,111,10,212565.75
"ME",2015,9,86,26.25,330315
"ME",2015,10,80,13,219471.75
"ME",2015,11,62,6.5,110444.5
"ME",2015,12,61,17,107945.25
"MD",2015,0,3261,22.75,4196881.36363636
"MD",2015,1,91,11,106790.25
"MD",2015,2,252,19.25,368543.863636364
"MD",2015,3,115,10,151824
"MD",2015,4,157,12,219767.75
"MD",2015,5,272,12.5,278212
"MD",2015,6,875,22.75,1637957.75
"MD",2015,7,326,16.5,448621
"MD",2015,8,276,8.75,228448.25
"MD",2015,9,335,11.75,239360.75
"MD",2015,10,279,18.25,291679.5
"MD",2015,11,152,7,129914
"MD",2015,12,131,5.75,95762.25
"MA",2015,0,2121,47.25,4188589.5
"MA",2015,1,151,47.25,438977.5
"MA",2015,2,48,17.5,84295.5
"MA",2015,3,131,16.5,167153
"MA",2015,4,66,10,94319
"MA",2015,5,75,6.5,193657.25
"MA",2015,6,230,15.75,635016
"MA",2015,7,325,30.5,533645.5
"MA",2015,8,308,18,878027
"MA",2015,9,229,17.75,512954.5
"MA",2015,10,221,26.5,275810
"MA",2015,11,183,15.5,196740.75
"MA",2015,12,154,14,177993.5
"MI",2015,0,6001,108.25,30219287.75
"MI",2015,1,168,15.25,280914
"MI",2015,2,148,13.25,291026.25
"MI",2015,3,261,35.25,1021541
"MI",2015,4,337,22.75,845869.5
"MI",2015,5,497,18.25,1174419
"MI",2015,6,1030,34.75,4434819.75
"MI",2015,7,628,39.25,1861090.5
"MI",2015,8,885,58,7100771.5
"MI",2015,9,464,56.75,1371093.5
"MI",2015,10,485,55.5,1285426.5
"MI",2015,11,662,70.25,2948781.5
"MI",2015,12,436,108.25,7603534.75
"MN",2015,0,1828,69,3154485.75
"MN",2015,1,22,5.25,25987.75
"MN",2015,2,30,3.5,27343.25
"MN",2015,3,47,10,59692.5
"MN",2015,4,77,12.75,123245.5
"MN",2015,5,171,22.25,237487.25
"MN",2015,6,266,8.25,263055
"MN",2015,7,569,69,1623909.25
"MN",2015,8,208,15.5,284925.5
"MN",2015,9,157,20,204163.75
"MN",2015,10,110,10.25,105678.75
"MN",2015,11,99,11.75,118093.25
"MN",2015,12,72,6.25,80904
"MS",2015,0,1460,55,2592075.25
"MS",2015,1,48,9.75,58327.25
"MS",2015,2,80,50,412900.75
"MS",2015,3,91,17.75,160555.5
"MS",2015,4,149,23.5,226893
"MS",2015,5,146,17.75,241541
"MS",2015,6,165,13.75,135985.25
"MS",2015,7,170,18.75,207807.5
"MS",2015,8,129,25.25,200938
"MS",2015,9,93,17,91419.75
"MS",2015,10,138,55,438548.25
"MS",2015,11,137,19.5,205947
"MS",2015,12,114,22.25,211212
"MO",2015,0,2282,48.5,4867725.22222222
"MO",2015,1,15,2.75,5143.25
"MO",2015,2,6,2.75,2789.75
"MO",2015,3,10,20.25,14121
"MO",2015,4,70,11.25,43145
"MO",2015,5,216,17.75,313511.5
"MO",2015,6,474,48.5,2689817.72222222
"MO",2015,7,389,33.5,632205.25
"MO",2015,8,372,11,315826
"MO",2015,9,168,14,207107.25
"MO",2015,10,139,6,114654.25
"MO",2015,11,226,25,293513.75
"MO",2015,12,197,21.5,235890.5
