"state","year","month","outage_count","max_outage_duration","customer_weighted_hours","date"
"PA",2022,11,661,29.75,920381.25,2022-11-01
"PA",2022,12,738,101.5,2906071,2022-12-01
"PA",2023,1,492,14.75,491132.75,2023-01-01
"PA",2023,2,468,23.75,587163.75,2023-02-01
"PA",2023,3,623,108,4991346.25,2023-03-01
"PA",2023,4,688,101.25,5857323.75,2023-04-01
"PA",2023,5,455,19.25,574224.75,2023-05-01
"PA",2023,6,828,36.75,1316616.75,2023-06-01
"PA",2023,7,1023,47.5,2226888.75,2023-07-01
"PA",2023,8,766,87,5375754.5,2023-08-01
"PA",2023,9,687,52.5,1807672,2023-09-01
"PA",2023,10,464,29.25,497228.75,2023-10-01
"PA",2023,11,429,24.25,527356.75,2023-11-01
"PA",2023,12,533,25.75,829149.5,2023-12-01
